country,year,sex,list,agf,cause,total,d0,d1,d5,d10,d15,d20,d25,d30,d35,d40,d45,d50,d55,d60,d65,d70,d75,d80,d85p,d85,d90p,d90,d95p,d95,d100p
LTU,1956,1,interm,1,103,1.9,0.07,0.19,0.16,0.16,0.32,0.07,0.07,0.07,0.06,0.06,0.14,0.1,0.11,0.06,0.06,0.06,0.06,0.05,0.04,.,.,.,.,.,.
LTU,1956,1,interm,1,104,248.42,5.02,13.29,12.75,12.92,27.8,22.15,25.19,15.49,14.31,12.44,21.75,15.02,16.09,6.48,6.08,6.42,6.02,4.65,4.58,.,.,.,.,.,.
LTU,1957,1,interm,1,0,11881.47,1795.17,288.73,141.37,110.26,202.51,280.62,340.7,309.7,259.59,339.82,523.26,852.7,857.72,1094.79,1063.68,990.43,964.34,794.75,671.32,.,.,.,.,.,.
LTU,1957,1,interm,1,1,41.6,34.16,0.68,0.04,0.04,1.05,0,1.07,0.59,0.49,0.05,0.08,0.3,0.3,0.54,0.53,0.49,0.48,0.39,0.33,.,.,.,.,.,.
LTU,1957,1,interm,1,2,110.45,104.11,2.94,0.67,0.32,0.32,0,0,0,0,0.31,0.48,0.64,0.65,0,0,0,0,0,0,.,.,.,.,.,.
LTU,1957,1,interm,1,3,906.33,18.47,17.06,8.41,5.98,8.38,31.42,48.2,60.93,51.07,63.64,98,106.92,107.55,55,53.44,49.76,48.45,39.93,33.73,.,.,.,.,.,.
LTU,1957,1,interm,1,4,38.47,20.47,1.05,1.41,2.02,2.14,1.08,2.96,0,0,1.19,1.83,0.82,0.82,0.52,0.51,0.47,0.46,0.38,0.32,.,.,.,.,.,.
LTU,1957,1,interm,1,5,74.82,25.91,18.74,10.38,8.82,2.14,0.21,1.28,0.79,0.67,0.18,0.28,1.41,1.42,0.51,0.49,0.46,0.45,0.37,0.31,.,.,.,.,.,.
LTU,1957,1,interm,1,6,0,0,0,0,0,0.00E+00,0,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,.,.,.,.,.,.
LTU,1957,1,interm,1,7,23.33,0.81,2.11,0.31,0.29,0.56,1.49,0.14,0.12,0.1,1.32,2.04,1.17,1.35,2.19,2.22,2.06,2.01,1.66,1.4,.,.,.,.,.,.
