country,year,sex,list,agf,cause,m0,m1,m5,m10,m15,m20,m25,m30,m35,m40,m45,m50,m55,m60,m65,m70,m75,m80,m85p,m85,m90p,m90,m95p,m95,m100p
BLR,1977,1,belarus,1,46,54,3,3,0,2,0,3,0,0,3,6,4,8,9,8,0,35,0,0,.,.,.,.,.,.
BLR,1977,1,belarus,1,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,.,.,.,.,.
BLR,1977,1,belarus,1,48,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,.,.,.,.,.
BLR,1977,1,belarus,1,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,.,.,.,.,.
BLR,1977,1,belarus,1,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,.,.,.,.,.
BLR,1977,1,belarus,1,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,.,.,.,.,.
BLR,1977,1,belarus,1,52,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,.,.,.,.,.,.
BLR,1977,1,belarus,1,53,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,.,.,.,.,.,.
BLR,1977,1,belarus,1,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,.,.,.,.,.
BLR,1977,1,belarus,1,55,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,.,.,.,.,.,.
BLR,1977,1,belarus,1,56,0,0,0,0,0,3,0,0,0,0,0,0,8,0,0,11,0,0,0,.,.,.,.,.,.
BLR,1977,1,belarus,1,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,.,.,.,.,.
BLR,1977,1,belarus,1,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,.,.,.,.,.
